Epoch,metrics/mAP_0.5,metrics/precision,metrics/recall,metrics/mAP_0.5:0.95,val/box_loss,val/cls_loss,val/obj_loss,x/lr0,x/lr1,x/lr2,train/box_loss,train/cls_loss,train/obj_loss
0,0,0,0,0,0.062398624,0.068530567,0.012601318,0.070069284,0.003325635,0.003325635,0.082541592,0.077507854,0.020912701
1,0.012773378,0.003352368,0.080124246,0.003710277,0.054568246,0.066987857,0.011045175,0.037871824,0.004461509,0.004461509,0.07303305,0.075878397,0.021306355
2,0.075295714,0.193748441,0.141025355,0.032123985,0.038069192,0.064521663,0.010217982,0.003474365,0.003397383,0.003397383,0.057195891,0.074707918,0.020029722
3,0.075166826,0.194372521,0.140889468,0.032102683,0.038084641,0.064523593,0.010224096,0.00257547,0.0028,0.0028,0.034455,0.06611,0.01465
4,0.623003915,0.431303772,0.64983583,0.456932851,0.019334301,0.036765609,0.004454117,0.00208,0.00208,0.00208,0.02872471,0.054769691,0.010313638
5,0.648297774,0.45516918,0.695184842,0.451215168,0.022831406,0.032066327,0.005400585,0.0067,0.0067,0.0067,0.038211677,0.052165501,0.011457818
6,0.785899447,0.633125316,0.866663131,0.555931209,0.021162331,0.024602791,0.004289458,0.00604,0.00604,0.00604,0.034146927,0.04510238,0.010736002
7,0.834475757,0.657993378,0.862554775,0.59719944,0.020749047,0.022632554,0.004280193,0.00538,0.00538,0.00538,0.032750133,0.040070903,0.01017329
8,0.891698603,0.765867046,0.882430051,0.635702225,0.020734288,0.018242832,0.004286818,0.00472,0.00472,0.00472,0.030383408,0.035778407,0.009717215
9,0.89637644,0.760690625,0.90727896,0.670344566,0.018999251,0.01654483,0.003851773,0.00406,0.00406,0.00406,0.028872488,0.031382382,0.009332864
10,0.917041628,0.819325329,0.916620194,0.710826747,0.017674653,0.014241555,0.003643571,0.0034,0.0034,0.0034,0.027803941,0.028896388,0.009181494
11,0.956861738,0.846917589,0.948670879,0.759899496,0.015984507,0.0119908,0.00349983,0.00274,0.00274,0.00274,0.026089862,0.026278863,0.008740213
12,0.95830342,0.840781996,0.940468329,0.772991825,0.016639676,0.012141401,0.003571649,0.00274,0.00274,0.00274,0.025916889,0.02521719,0.008654032
